Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,380000,,,,380000,,2556086,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,398,Kazakhstan,KAZ,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,12869,,,,12869,,11239,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,417,Kyrgyzstan,KGZ,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,127250,,,,127250,,734078,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,757,Switzerland,CHE,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,190,,,,190,,3374,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,762,Tajikistan,TJK,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,300,,,,300,,2652,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,792,Turkey,TUR,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,9856,,,,9856,,112924,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,860,Uzbekistan,UZB,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,149754,,,,149754,,663345,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,153139,,,,153139,,2343760,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,58,,,,58,,516,,,0
H5,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,156,China,CHN,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,14957,,,,14957,,52471,,,0
